"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02"
102001,"United States",0,95800,96500,96600,96300,96200,96300,96600,96800,96700,97000,97700,98400,98600,98900,99200,99500,99600,99800,100100,100800,101100,101700,102500,103100,103000,102900,103400,104200,104900,105300,105700,106300,106600,106900,107600,108500,109300,110000,110500,111100,111800,112500,113200,114000,114900,115800,116900,117900,118700,119600,120800,121400,122100,123000,123900,124800,125900,126900,128000,129100,130300,131100,132000,133000,134100,135100,136000,136900,138100,138600,138200,138100,138900,140000,140900,142000,143300,144700,145900,147200,148100,149200,150800,152400,153600,154900,156600,158500,160000,161200,162500,163800,165900,168500,170800,172500,174300,176200,178200,180000,182000,184300,186400,188400,190400,192500,194800,197400,200200,203000,205500,208200,210900,213300,215800,218500,220600,222500,224300,225900,227200,228200,228600,228800,228900,229000,228700,228100,227600,227100,226700,226400,225800,225100,224000,223000,222000,221000,219600,218100,216300,214300,212200,209800,207300,205000,203000,201000,199000,197000,195100,193400,191700,190000,188400,186700,184700,182500,180500,178900,177700,176600,175700,174700,173500,172100,170800,169900,169200,168600,167700,166300,164800,163600,162600,161400,160500,159800,159000,158100,157200,156200,155200,154400,153500,152600,151900,151100,150800,150900,151100,151100,151200,151600,152100,152800,153400,153700,154100,155000,156000,156800,157700,158700,160100,161600,162900,164400,165800,166900,168000,169000,169800,170500,171200,171900,172700,173700,174400,175100,176000,177100,177900,178500,179100,179700,180700,181900,183200,184500,185700,186700,187500,188600,189700,190700,191700,192300,193100,194400,195800,196900,198200,199900,201300,202400,203800,205300,206800,208100,209500,211000,212600,214100,215400,216500,217800,219200,220500,221600,222800,224300,225400
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392800,393000,393700,388700,369900,350700,349100,360100,366700,365400,359700,355700,357100,360500,364000,369000,371600,371700,373700,378600,383700,386200,383700,382200,384700,386800,387800,390900,390400,387200,385700,388000,390300,391300,388600,385500,385300,385500,385300,386300,385500,383200,382500,384300,385500,386300,386500,387100,387300,386800,386300,386600,385900,383700,381800,381300,381000,380600,379000,376700,375100,374500,374300,373200,379000,389800,395000,392600,392500,393000,393200,393100,392400,391400,391300,392300,391900,390100,389300,389500,388500,387600,387600,387200,386800,386800,386500,385500,383400,381200,380900,382200,383000,383400,383900,385400,387600,389100,389300,390700,392800,393700,394700,397500,400900,404100,407100,410600,414800,418600,420500,422000,423700,425800,427800,429500,431000,432800,433800,434800,436500,439000,442000,445500,448200,450600,453400,457100,461400,466200,470600,474800,479200,484100,489500,493200,494200,494600,496100,498400,500400,502600,507300,514200,520100,524300,528300,533400,538600,543000,550500,559700,570100,583400,596700,605500,611700,619700,629100,638300,644700,649900,653000
753899,"Los Angeles-Long Beach-Anaheim, CA",2,139100,138500,137500,136600,136200,136100,136100,136100,136600,137700,138900,139700,140200,140300,140500,140800,141300,142200,143000,144000,145300,146500,147700,148600,149100,149700,151800,154200,155800,156900,158600,159800,160800,161900,163400,164900,165900,166700,167700,168700,169400,170300,171700,173600,175400,177100,178900,180800,182700,184500,185400,186400,188200,190100,191800,193600,195800,198500,201200,203600,206000,208600,210700,212500,214400,216400,218300,220800,223600,226200,228400,230700,233400,236900,241100,245400,249300,253200,257500,262000,266200,270000,274000,278300,282300,285800,289500,294200,299800,305800,312100,318500,325000,331800,339200,347700,357700,368400,378900,388100,395600,401100,404800,406900,409600,413600,418000,422700,427800,433100,438700,445000,451700,458500,464700,470700,474800,476800,478600,480800,482200,483500,485100,485700,485100,484000,483000,482100,480000,477400,475800,474800,473400,471600,468700,465200,461400,457300,453700,449700,444200,437700,431200,423900,415700,407600,399800,392800,387200,382700,378700,375400,371500,367500,364100,360900,356800,352000,348100,346200,345400,344700,344200,343400,346800,352500,354800,353100,352400,351600,349900,347500,345500,343500,341400,339700,337900,335500,333000,330500,327800,325800,322900,319500,316300,314000,311800,309600,307400,306100,305500,305600,306400,308000,310400,313400,315800,317500,319000,321900,326100,330100,334800,342300,350700,359700,369000,376900,383100,389200,394500,398400,399900,400500,402200,405200,407300,408600,410100,411800,413300,414900,416500,417500,418300,419600,422400,425600,428500,430500,431800,433400,435300,437100,439400,442100,444300,446600,449100,451800,454400,456800,459900,463100,465400,467100,469900,473000,475400,477000,479100,482200,485500,488900,491900,494900,498500,502600,506900,511700,516600,520900,523600
394463,"Chicago, IL",3,108300,108200,108100,108300,108500,108700,109000,109400,109900,110400,110800,111000,111000,111100,111300,111500,112000,112400,112700,112800,113000,113500,114200,114500,114600,115100,115700,116400,117100,117700,118200,118700,119000,119400,120100,120800,121600,122200,122900,123900,124900,125900,126900,127800,128900,130100,131400,132700,134200,135700,137400,138300,138800,139300,140300,141700,143500,144900,145700,146400,147700,149700,151500,153000,154500,155900,156700,158000,160000,161600,162800,164100,164900,164900,164700,164900,165600,166600,168100,169400,170100,170700,171800,173400,174900,176800,179100,180800,181700,182400,182400,182100,181900,182100,182700,183700,184700,185000,184900,185600,187200,188900,190100,191000,191700,192500,193800,194900,196000,197400,199000,200300,201100,201500,202300,203400,204300,205000,205800,206200,206300,206500,206800,206900,207200,207600,208000,208300,208800,209500,209900,209800,209500,209000,208700,208500,208500,208600,208800,208700,208800,209000,208600,207600,206500,204900,202900,201500,200300,199000,197800,196800,196000,195300,194500,193600,192200,190700,188900,187300,186200,185900,185700,185500,183600,180600,178200,176900,175800,175300,174500,172500,169900,168100,166700,164700,163200,162700,161800,160200,158100,156100,154000,152300,150900,148900,146400,144000,142600,141700,141000,139700,139000,138700,138700,138700,138600,137700,137300,137700,137900,137500,137200,138200,139400,140100,141500,143100,144300,145200,145800,146000,146400,146700,146900,147200,147400,147600,147800,148400,149700,151000,152200,153100,153300,153300,153700,154600,156000,157400,158000,158100,158400,159000,159200,159500,159800,159800,159900,160800,162100,162800,164100,165700,166600,166900,168300,170000,172000,173800,175000,175000,175100,176200,177000,177100,176800,176600,176100,175600,175500,176000,176600
394514,"Dallas-Fort Worth, TX",4,,,,,,,,,,,69900,69300,68500,68200,67800,67400,67200,67200,67300,68800,70600,71800,71800,71300,70500,70300,70300,70400,70300,70200,70500,72200,74000,74900,75200,75800,76300,76700,77000,77400,77800,77900,78400,80200,82000,82600,82200,81700,81300,81200,81100,81000,81000,81000,81300,82800,84400,84800,84700,85000,85300,85600,85800,85800,85900,86300,86900,87500,88200,88800,89000,89200,89400,89300,89300,89700,90200,90700,91100,91500,92100,92900,93200,93400,93400,93500,93600,93800,94200,94500,94800,95100,95400,96300,97800,99100,100100,100900,101400,101700,102200,102500,102700,102700,102900,103200,103400,103700,104200,105000,105900,106500,106700,107100,107700,108200,108300,108400,108800,109300,109600,109600,110000,110700,111300,111500,111700,111900,112100,112400,112800,113200,113300,113600,114100,114500,115000,115700,116400,116900,116700,115400,113700,112500,111600,111000,110500,110300,110300,110400,110400,110400,110300,110200,110000,109800,109500,109000,108500,108300,107900,107400,107000,106600,106800,107300,107500,107000,107000,107400,107600,107100,106500,105900,105600,105200,104700,104600,104400,104400,104300,104000,103000,101900,100900,100200,99600,99700,100500,101800,102900,103400,103700,104200,104900,105500,105900,106100,106100,106200,106500,106400,106700,107700,108800,109600,109900,110100,110800,111600,112300,112900,113400,113400,113400,113500,113600,113700,114500,115600,117200,118500,119400,119900,120600,122000,124200,126500,128800,130900,133100,135100,136900,138700,140800,143200,145200,146400,147300,148600,150600,153200,156200,158900,161200,163200,165000,166400,167100,167600,168300,169900,171200,172200,173500,175500,177400,179200,181000,182500,183500,184700,185700
394974,"Philadelphia, PA",5,51700,51800,51700,51500,51300,51300,51300,51300,51300,51400,51500,51800,52000,51800,51500,51300,51500,51500,51400,51400,51500,51600,51900,52100,52200,52300,52200,51900,52000,52200,52400,52300,52300,52300,52600,52900,52900,53000,53300,53400,53400,53300,53400,53700,53900,54000,54300,54600,54700,54600,54800,55000,55200,55400,55600,55700,56000,56300,56400,56500,56700,56900,57100,57400,57700,57900,58300,58900,59500,60300,60800,61100,61500,62000,62600,63200,63800,64600,65300,65700,66300,66800,67200,67800,68500,69200,69900,70700,71400,72000,72500,73200,74100,74900,75800,76600,77500,78500,79500,80600,81900,83400,85000,86800,88300,89700,91200,93100,95000,96900,99000,101100,103100,105000,106700,108400,110000,111200,112500,113800,115100,116600,118000,119100,120000,120600,120900,121100,121100,121200,121700,122400,123000,123300,123800,124400,124900,125200,124900,124100,123300,123000,123100,122900,122200,121700,121200,120700,120300,120400,120400,120400,120300,120300,120400,120400,120000,119400,119200,119500,119900,120400,120900,121100,122200,123300,123100,122800,123900,124700,125000,123900,122000,120500,120200,120500,120400,120000,119400,118800,118200,117400,116100,115400,115700,116000,115600,114900,113900,113600,113500,113000,112100,111900,111900,111900,111800,111400,111200,111900,112800,113000,113000,113400,113900,114200,114200,113500,113100,113000,112700,112600,112800,113100,113400,113800,114200,114800,115300,115600,115800,116000,116200,116300,116000,115700,115800,116100,116500,117100,117800,118600,119400,120200,120400,120200,119800,120100,121000,121800,122300,122300,123500,125500,126800,127000,127400,128000,128900,129700,130500,131100,131300,132000,132800,133200,133900,135600,137000,137800,138600,139500,139800
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81800,81800,81500,81100,80400,79200,78100,77400,77300,76800,77100,77500,78100,77600,77200,76600,76700,76300,76200,75600,74900,74000,74400,75000,75500,75100,74500,74100,74000,74100,74000,73800,73700,73900,74800,75700,76600,76800,76600,76200,76500,77800,79100,79600,80100,80900,82200,83200,84600,85900,86800,86800,87000,88200,89800,90300,90200,90900,92500,94500,96500,98600,99700,99700,100300,101600,103400,104200,105400,106100,107000,108500,110400,111300,110800,109600,107800,107000,107600,109200,110000,109800,109200,108900,108100,107200,112300,121300,127100,126300,122200,121900,122800,124400,125900,127200
395209,"Washington, DC",7,123000,123100,123000,122800,122600,122200,121800,121800,121800,122200,122800,122900,122400,122200,122000,121500,120900,120600,120500,120700,121000,121600,122200,122500,122300,122200,122100,122000,121900,121900,122200,122500,122800,123400,123800,124100,124400,124800,125300,125900,126700,127600,128300,128900,129600,130400,131400,132300,133000,133700,134700,135800,136700,137600,138500,139400,140600,142100,143500,145100,147000,148700,150400,152400,154600,156700,158700,160700,162500,164300,166500,168800,170900,173500,176500,179300,182300,185500,188200,191300,194900,198200,201100,204000,206700,209300,211900,214400,217100,220300,223700,226900,230400,234400,238500,242700,247500,252800,258600,264500,270600,276600,282500,288300,294000,299500,305200,311700,318500,325000,331100,336900,341500,345400,349100,352200,353900,354500,354900,354800,354400,353500,352000,349900,348100,346300,344500,343400,342000,340800,340400,340200,339700,339000,337800,336000,333700,331200,328800,326100,322200,317700,313000,308400,303900,299700,295700,292000,288900,286200,283600,281200,278500,275700,273200,270800,267700,264400,261400,259200,257800,257100,256900,256200,257900,261300,263100,262700,262700,262400,262300,262300,262100,261200,259900,258700,257400,256400,255900,255900,255800,255800,255800,255700,255500,255200,254900,255100,255300,255200,255400,256300,257200,258100,259300,261200,262800,264100,265300,266900,268100,268800,269700,271500,273900,276800,280000,282800,285100,287200,288800,289700,290300,290900,291500,292200,293400,294700,295600,295700,295500,295200,295400,296000,296200,296200,296700,297700,298700,299700,300500,300700,300800,301200,301900,302300,302200,301900,302400,303400,304100,304700,304800,304700,305000,306100,307400,309200,311100,312800,313800,313600,312600,311900,311700,312000,312800,313500,313700,313700,314500,315800,316900
394856,"Miami-Fort Lauderdale, FL",8,69200,69400,69200,69000,68700,68500,68400,68400,68500,68800,69200,69500,69600,69700,69700,69800,70100,70400,70600,70700,71000,71200,71600,71900,72100,72100,72100,72100,72200,72400,72500,72900,73300,73500,73700,74100,74300,74300,74400,74500,74900,75200,75300,75700,76200,76800,77300,77600,77900,78400,79100,79800,80200,80700,81500,82000,82300,83000,84000,84900,85800,86800,87800,88700,89700,90800,91800,92700,94000,95500,96700,97900,99300,100500,101800,103300,104900,106800,108600,110200,111600,112900,114400,116000,117500,119000,120600,122200,123700,124900,126500,128400,130100,131900,134000,136300,138600,141400,144200,147200,150600,154000,157400,160800,164300,167800,171700,176200,181100,186200,191600,196900,202000,206700,210900,214800,218400,221300,223800,225800,227500,228500,229000,229000,228600,227900,227000,225900,224300,223000,222100,221100,219300,217400,215500,213400,211000,208400,205500,202700,199200,194900,190200,185400,180500,176000,171600,167500,163400,159000,154700,150400,145500,140700,136500,132500,128200,123800,119900,116800,114600,112700,111100,109300,109700,111000,110600,108700,107900,107300,106100,104500,102500,101000,99700,98900,97600,95900,95000,95100,94800,94100,93100,92200,91600,91200,90900,90600,90400,90600,91000,91500,92100,93100,94600,95900,97100,98500,99600,100900,102700,104200,105600,107200,109100,111100,113300,115600,117500,119200,120800,122300,123400,124400,125600,126900,128200,129500,130400,131200,132300,133400,134700,135900,136700,137300,138400,140100,141900,143700,145500,147200,148700,149800,150500,151400,152400,153300,154100,155200,156500,157300,158600,160600,162300,163100,164000,165200,166100,166600,167200,167900,168500,169600,170700,171600,172500,173900,175900,177100,177300,178400,180300
394347,"Atlanta, GA",9,92900,93000,92600,92500,92300,92100,91900,91800,91900,92700,93700,94400,94900,95500,96300,97100,97600,98100,98900,99600,99800,100100,100900,101500,101900,102700,103700,104600,105900,107400,108500,109300,110400,111900,113300,114200,115000,116400,118100,119600,120900,122500,124000,125500,127000,128200,128800,129500,130700,132200,133300,134100,134800,135300,135900,136600,137500,138300,139100,140000,140700,141000,141100,141400,142000,142900,143700,144200,144400,144600,145100,145600,145800,146000,146200,146600,147200,147700,147800,148300,149000,149300,149400,149700,150100,150200,150300,150500,150500,150100,149900,150100,150300,150500,150900,151400,151900,152100,152300,153100,153600,153800,154000,154200,154600,155300,155900,156200,156400,156700,157200,157500,157900,158700,159400,159800,160500,161300,161900,162100,162300,162600,162900,163000,163100,163300,163700,164100,164100,163800,163600,163700,163900,164200,164300,163800,163400,163200,162700,162000,161200,160300,159400,158500,157700,156500,155500,154300,152800,151000,149600,148300,147000,145700,144400,142900,141100,139000,136900,135400,134700,134300,133800,133100,132600,132100,131600,131100,130900,130500,129400,127700,126000,124500,123100,121400,119400,117500,115800,114000,112200,110600,109300,108000,106700,105100,103700,102600,102100,101800,101200,100400,99800,99700,100700,102200,103300,104000,104900,106000,106800,107600,108700,110000,111500,113200,114900,116400,117900,119200,120100,121100,121900,122500,123100,124000,125200,126200,126600,126800,127100,127800,128700,129600,130500,131500,132800,134300,135900,137700,139300,140700,142300,143900,145300,146700,148000,148700,149600,151100,152700,153700,154400,155100,155900,157000,158300,159600,161100,162500,163900,165300,166800,168700,170600,171800,173100,174700,175900,176800,178300,180500,182500
