"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02"
102001,"United States",0,99900,100100,100300,100300,100200,100300,100600,100900,101500,102200,102700,103100,103500,103800,104000,104400,104800,105300,105800,106400,107000,107400,108000,108400,108400,108300,108800,109800,110500,110900,111300,111500,111800,112300,112900,113600,114400,115100,115700,116300,116800,117200,117700,118300,118900,119600,120300,121100,121800,122500,123200,123600,124100,124800,125500,126000,126700,127500,128100,128700,129300,130000,130700,131200,131500,132000,132500,133100,133700,134300,134700,135100,135600,136000,136500,137200,138100,139000,139800,140700,141300,141700,142500,143500,144400,145300,146200,147000,147800,148800,149700,150600,151700,153000,154200,155400,156700,157900,158900,160200,161700,163000,164000,165400,167000,168500,169800,171200,172600,174000,175800,177700,179100,180100,181500,182800,183800,184800,185700,186600,187600,188600,189200,189500,189900,190600,191100,191100,191000,191100,191400,191500,191800,191900,191600,191300,191100,190700,190000,189000,188000,187100,186100,184700,183200,181900,180700,179800,178900,178100,177300,176700,176100,175600,175000,174200,173300,172200,171000,169900,169000,168200,167500,167100,166400,165200,164200,163500,162900,162400,161900,161100,160200,159200,158400,157700,157100,156600,156000,155300,154600,154000,153600,153100,152500,152200,151800,151300,151000,151100,151400,151600,151700,152000,152300,152700,153200,153600,154000,154500,155000,155800,156600,157300,158000,158900,159900,160700,161500,162400,163100,163600,164300,164900,165300,165900,166800,167500,167800,168400,169100,169500,170000,170600,171000,171500,172100,172900,173800,174900,175800,176600,177400,178200,178900,179500,180200,180900,181600,182300,183300,184300,185400,186400,187400,188500,189500,190800,192100,193000,194000,195200,196400,197600,198800,199900,200900,202200,203600,204800,206100,207400,208300
394913,"New York, NY",1,165300,165300,165100,165000,164900,165000,164300,163100,162500,163100,164200,165200,166000,166600,167100,167500,167900,168300,168900,169500,170200,171000,172200,173200,173800,174300,174600,175000,175500,176100,177100,178200,179000,180000,181300,182700,184100,185800,187600,189400,191100,192700,194500,196700,199700,202700,205100,206900,208600,210700,213100,215400,217600,219900,222300,224700,226900,229300,231700,233900,235800,238000,240100,242400,245100,248300,251400,254300,257200,259800,262300,265200,268700,272100,275200,279000,283200,287000,290600,294400,298000,301500,305400,309500,312900,316500,321000,325300,328700,331600,334300,337400,340800,343800,346900,350500,354500,358200,361900,366000,370500,375100,379900,384400,388700,393400,398200,402900,407700,412500,417000,420800,424200,427800,431400,434600,437500,439900,442000,444000,446100,447600,448500,449200,449800,449900,449300,448500,447800,447200,446700,446400,446100,445500,444300,442400,440200,438000,436000,434200,432500,430800,428300,424800,421200,417800,414100,410500,407000,403900,401000,398000,394900,392100,389500,386900,384000,380600,377200,374600,372700,371200,370400,369900,368600,366900,365700,364800,363600,362400,361500,360400,358600,356700,355200,353900,352800,351800,350900,349700,348300,347100,346100,345000,343800,342300,340600,339000,337500,336200,335100,334400,334000,333700,333600,334000,334700,335300,335600,336000,336900,337600,337900,338500,339500,341100,342900,344800,346900,348700,349800,350700,352000,353400,354400,354800,355600,357000,358200,359000,359500,359600,359500,359500,360200,361100,362100,363000,364300,365400,366300,367100,368100,369500,371300,372700,373600,374200,374800,375900,377500,378800,379800,381400,383900,386500,388700,391000,392800,394500,397400,400800,403300,405100,406800,408300,409400,410800,411800,412500,413100,414100,415100
753899,"Los Angeles-Long Beach-Anaheim, CA",2,178800,178800,178700,178600,178700,178900,179100,179300,179900,181100,182100,182900,183400,183700,183900,184200,184700,185400,186400,187700,189200,191200,193100,194800,196500,198500,200400,202200,204000,205900,207900,209700,211200,212700,214600,216500,217900,219300,221000,222400,223600,224700,226300,228200,230400,232700,235300,238000,240300,242400,244300,246600,249200,251500,253200,255200,257500,260100,262900,265800,268400,270400,272100,274000,276100,278700,281600,284600,287500,290900,294300,297800,301500,306300,311600,317000,322200,327700,333400,339400,345000,350200,355200,360200,364900,369200,373400,378200,383900,390300,397500,405400,413900,422600,431400,441300,452700,465300,478200,490200,500500,508700,515400,520800,526100,531400,537100,543700,551700,560400,569000,577700,587100,596200,603800,610800,616400,620500,623700,626700,628700,630400,632200,633400,633200,631700,630000,628600,626400,625100,624900,624100,622300,620000,616100,611100,605600,599900,594600,588200,579500,569900,560500,550200,538700,527700,517600,508600,500900,494500,488700,483500,477700,472000,467000,462100,456400,450000,444700,442400,442200,442200,442100,441300,444800,451000,453900,453300,453800,454000,453200,450700,447600,444800,442800,441800,441500,440200,438000,435300,432600,429900,427100,423600,420600,418100,415900,414000,412300,411200,410900,411800,413200,415700,418800,422600,426200,429700,433000,437100,441500,445200,450600,459700,469600,479500,489200,497800,504600,510800,515500,519200,521100,522500,525500,529800,533200,536000,539100,542500,545500,547700,549900,552100,554100,556200,558900,561800,565400,569000,572300,575500,578400,580600,583100,586400,589100,591400,593800,596700,600500,604500,608100,611300,614300,617600,621700,625600,628600,631300,634300,637300,640100,643200,646300,649400,652700,656800,661100,665700,670500,675700,679300
394463,"Chicago, IL",3,148000,147700,147500,147200,146900,146600,146600,146900,147600,148400,149000,149200,149300,149500,149700,149900,150000,150300,150700,151000,151400,152100,152700,153000,153100,153200,153300,153400,153700,154000,154500,154900,155500,156300,157100,157600,158400,159200,159800,160100,160700,161600,162500,163500,164500,165700,166900,167800,168900,169900,170700,171800,173100,174400,175400,176400,177800,179200,180100,181000,182200,183500,184600,185500,186400,187400,188500,189400,190600,192400,194000,195100,196100,197000,197900,199200,200800,202300,203800,205100,207000,209300,211300,213000,214700,216700,219200,221500,223100,224100,224500,224900,226100,227800,229200,230100,231200,232300,233600,235200,236800,238100,239500,242000,240600,236300,234900,237400,239100,240800,242500,243900,245200,246700,248400,249600,251200,253200,254800,255500,256300,257000,257400,257800,258100,258600,259200,259300,260000,261200,261700,261400,261000,260300,259100,258100,257000,255900,254700,253500,252500,251300,249700,247500,245200,243200,241000,238500,236200,234100,232200,230400,228800,227700,226500,224800,222600,220000,217600,215700,214600,213800,213000,212200,211400,210200,208800,207100,205700,204700,203400,201600,199800,198000,196200,194400,193100,192100,191000,190000,188600,186700,184700,183000,181300,179800,178400,177000,175800,174900,174000,173100,172800,173200,174200,175300,175700,175500,175400,175700,176000,176200,176300,176900,178100,179700,181600,183400,184700,185900,187200,188300,189100,189700,190700,192000,193100,194000,194900,195900,197200,198300,198900,199100,199100,199000,199300,200200,201500,202900,203400,203600,204000,204400,205000,205600,206100,206600,207500,208400,209300,210100,210800,211500,212200,213100,214100,215200,216700,218400,219900,220700,221000,221400,221700,221600,221900,222600,223400,223800,224400,225200,225900
394514,"Dallas-Fort Worth, TX",4,102100,102100,102200,102300,102300,102300,101900,99600,96900,96300,97100,97200,97300,97300,97400,97600,98100,98500,99000,99800,100700,101400,101900,102200,102300,102300,102400,102600,103100,103400,103700,104200,105000,105600,106100,106800,107500,108200,109000,109800,110400,111200,112000,113300,114300,115000,115300,115400,115600,116000,116300,116600,116700,117100,117600,118300,118900,119300,119900,120600,121100,121400,121800,122100,122300,122700,123100,123600,124100,124400,124700,125100,125500,125900,126200,126700,127100,127400,127700,128100,128500,128900,129100,129300,129400,129600,129600,129800,130100,130300,130400,130600,130900,131500,132400,133700,135000,136000,136900,137600,138200,138700,139300,139700,140200,140500,140800,141200,141600,142100,142400,142600,142800,143100,143300,143400,143600,143900,144300,144500,144700,145100,145500,145800,146200,146600,146900,147400,147500,147400,147500,147800,147900,148200,148400,148800,149200,149800,150300,150800,150400,149000,147500,146400,145100,143900,143100,142600,142000,141300,140800,140300,139500,138500,137800,137300,136500,135600,134900,134600,134700,134800,134900,134300,135800,138800,140200,140000,140500,140900,141200,141000,140700,140200,139600,139300,139000,138500,138200,138200,138000,137900,137500,137000,136500,136100,136000,136100,136200,136500,137100,137700,138300,138700,139000,139200,139400,139600,139800,140200,140500,140900,141500,142300,143300,144400,145400,146200,147300,148400,149300,150200,150800,151100,151600,152500,153200,154000,155000,155900,156800,157800,158700,159600,160400,161100,162100,163600,165500,167800,170100,172300,174700,176800,178700,180500,182000,183200,184800,186700,188400,190000,192900,196000,197900,199100,200600,202000,203000,203900,205500,207600,209600,211600,213300,214500,215600,217100,218900,220600,222000,223100,223800
394974,"Philadelphia, PA",5,122100,122200,122200,122200,122100,121900,122000,122200,122400,122700,123200,123400,123500,123800,123900,123900,124000,124100,124300,124800,125200,125800,126600,127200,127400,127500,127700,127800,127700,127600,127700,127900,128200,128700,129300,129900,130000,130300,130800,131400,132000,132600,133200,133700,134100,134700,135700,136700,137400,137900,138500,139100,139700,140600,141400,142000,142600,143400,144000,144700,145700,146700,147600,148500,149600,150700,151800,152800,154100,155400,156600,157800,159000,160500,162000,163400,165000,166800,168400,170200,172100,174000,175600,177400,179300,181200,182900,184700,186800,188900,190800,192800,194800,196800,198800,201100,203400,205900,208600,211700,214800,217700,220500,223100,225800,228300,230700,233000,235500,237900,240400,243100,245600,247800,250300,252700,254300,255300,256400,257500,258600,259800,260700,261200,261400,261300,261000,260600,260000,259800,260100,260300,260300,260300,260300,260000,259400,258900,258100,257400,256600,255400,254200,253400,252400,251400,250500,249700,248800,247800,246800,245800,244600,243600,242900,242100,240900,239500,238200,237100,236300,236000,235900,235600,236100,237000,236700,235700,235600,235300,234400,232700,230700,228900,227700,226900,226100,225400,225000,224100,222700,221400,220400,219600,218900,218200,217200,216500,216200,216100,215900,215800,215500,215100,214600,214600,215000,215400,215800,216600,217100,217000,217000,217700,218700,219700,220500,221100,221400,221700,221900,222000,221900,222100,222300,222300,222700,223600,224500,225200,225600,225700,225500,225300,224800,224200,224200,224600,225000,225700,226700,227600,228100,228400,228600,228800,228900,228700,228800,229300,229900,230500,231300,232400,233800,235300,236500,237100,237300,237400,237800,238600,239400,239900,240100,240300,241000,242200,243200,244300,246100,248100,249400
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135400,135400,135100,134600,134100,133500,132900,132000,131200,130500,130700,131400,132300,132300,131900,131400,130600,129900,129200,128700,128300,127800,128500,129400,130400,130300,130200,130000,129800,129900,129900,129800,129800,130100,131200,132300,133800,134800,135900,136800,137500,138300,139100,140100,141100,142100,143700,145300,146800,147600,148200,149000,149600,150500,151400,152300,153400,154300,155800,157300,159000,160100,161100,162000,163000,164100,165400,166300,167200,168000,169400,170800,172600,173500,174400,175100,176400,177400,178300,178800,179100,179300,178700,178300,177700,177700,179300,181800,184100,185300,186000,187000,187900,188900,190000,190900
395209,"Washington, DC",7,176200,176600,176800,176800,176600,176600,176900,177100,177400,177900,178600,178800,178600,178100,177500,177000,177000,176900,176900,177300,177600,178300,179400,180100,180400,180700,180800,180900,181100,181500,182000,182800,183600,184600,185500,186400,187200,188000,188800,190100,191600,193000,194100,195200,196700,198500,200300,202000,203600,205500,207400,209200,210700,212300,214100,216100,218400,220700,223100,225400,227800,230200,232600,235100,237800,240200,242500,244700,247100,249600,252400,255500,258600,261800,265300,268800,272100,275500,279200,282800,286300,289700,292900,296000,299200,302300,305600,309100,313000,317000,321300,325700,330100,334900,340200,345600,351000,357100,363800,370900,378300,385500,392600,399700,406700,413500,420300,427700,435400,443200,450700,457800,464200,469800,474600,478700,481500,483300,484800,486400,487500,487900,487300,486100,484100,481800,479600,477800,475600,473400,471800,471100,470200,469000,466600,462900,458300,454000,449600,444800,438500,431400,424000,416800,410100,403500,397000,391800,388000,384800,381800,379100,376000,372700,369900,367500,364400,360800,357400,355000,353500,352600,352100,351200,353800,359300,362300,361400,361000,360900,360700,359700,358200,356600,355000,353700,352500,351300,350400,349400,348200,347600,347500,347700,347900,348100,348000,348200,347900,346900,346800,348000,349000,349800,351400,353600,355700,357300,358900,360600,361900,362700,364100,366600,369700,373000,376500,379400,381700,383400,384700,385600,386300,387000,387900,389100,390500,392200,393400,393900,393800,393500,393600,394400,395000,395200,396000,397700,399300,400800,402100,403200,403900,404300,404800,405500,405800,405300,405300,406300,407900,409300,410200,410600,411600,413300,415400,417500,419100,420300,421300,421700,421300,420900,420600,421200,422500,424000,425000,425400,426000,427100,427900
394856,"Miami-Fort Lauderdale, FL",8,120400,120200,119900,119500,119400,119500,119600,119700,120100,120800,121400,121700,121800,122100,122300,122400,122700,123300,123600,123500,123700,124200,124900,125500,125900,126300,126600,126800,126900,127100,127400,128100,128700,128700,128800,129400,130100,130500,131000,131600,132000,132400,132900,133600,134400,135300,136400,137300,137900,138800,140100,141100,141800,142400,143200,144200,145100,146200,147600,149200,150800,152200,153600,155200,156800,158600,160400,162000,163800,166000,167900,169600,171300,172900,174600,176800,179200,181500,183800,186600,189300,191800,194000,196300,199100,201900,204500,207100,210200,213300,216200,219200,222300,225800,229400,233300,237600,242400,247600,252800,257800,262900,268300,273600,278900,284400,290900,298200,305700,313700,322100,330200,337600,344000,349600,354600,358800,362200,365600,368600,370800,371800,371900,371600,371200,370500,370000,369200,367400,365400,363900,361900,359200,356300,353000,349400,345400,341100,336300,331600,326300,320300,313200,305900,298100,290600,283100,276200,270100,264700,259400,253700,247400,241400,235900,230400,224600,218800,213800,210200,208000,206500,205400,204300,204800,205600,204500,202200,200800,200000,199400,198400,196200,193700,191400,189800,187900,185900,184600,184700,184800,184300,183300,182000,180600,179400,178000,177100,177500,178900,180800,182400,183600,184800,186400,187500,188500,189400,190300,191800,193800,195600,197400,199900,203000,206400,209600,213000,216300,220000,223900,226900,228800,230200,232100,234100,236200,238200,240700,243100,245300,247200,249200,251500,253600,255300,257800,260800,263800,266800,269900,272900,275300,277700,280200,282400,284100,285400,286800,288600,291100,293500,296200,299000,301700,303800,305700,307600,309200,310500,311200,311500,312400,314300,316400,318500,321000,323900,327400,329500,330200,332600,336000
394347,"Atlanta, GA",9,108000,108300,108500,108500,108500,108400,108700,109000,109400,109800,110200,110600,110900,111400,112100,112800,113500,114000,114400,114900,115500,116100,116800,117400,117700,118100,118600,119000,119600,120400,121100,121800,122400,123100,123900,124800,125500,126200,126800,127600,128600,129600,130200,130900,131900,133100,134100,134900,135600,136400,137300,138100,138700,139300,140200,140900,141500,142200,142900,143500,144200,144900,145400,146000,146600,147200,147600,147900,148400,148900,149200,149500,150000,150600,151100,151700,152200,152500,152700,153200,153600,153800,154000,154500,155000,155400,155600,155900,156200,156500,156900,157300,157700,158400,159000,159400,159500,159700,159900,160400,160800,161300,162000,162500,162900,163500,164300,165100,165600,166100,166700,167300,167700,168400,169000,169700,170300,170700,171100,171700,172200,172600,173300,174100,174600,174800,175000,175100,174900,174200,173700,173700,174100,174400,174200,173800,173600,173500,173400,172900,172100,171400,170600,169700,168500,167100,165500,164000,162600,161300,160100,159100,157900,156600,155400,154200,152600,150900,149300,148200,147400,146800,146200,145300,145500,146500,146600,145600,145000,144400,143500,142000,140300,138500,136700,135100,133400,131200,129500,128100,126900,125800,124900,123800,122600,121600,120700,119800,118900,118600,118400,118100,118000,118200,118700,119500,120200,120600,121100,121900,123000,123900,124600,125400,126400,127800,129400,131200,133000,134700,136200,137500,138400,138900,139600,140700,141900,143000,144100,145000,145500,146200,146800,147500,148300,149100,150200,151800,153400,154800,155800,157000,158200,159400,160300,161300,162100,162800,163900,165200,166200,167200,168000,168500,169200,170500,171800,172900,174100,175100,176000,177000,178300,179500,180500,181400,182800,184200,185500,186900,188200,189500,190900
